BergLeaderM				~kKönig Aaron Léone seufzt und sagt, "Eines Tages werde ich dahinscheiden und keinen Stammhalter hinterlassen können, da meine Ehefrau bedauerlicherweise keine Nachkommen mehr gebären kann. Wenn Jala uns doch nur helfen könnte."
BergLeaderM				~kKönig Aaron Léone lächelt zufrieden und sagt, "Auch wenn ich keinen Sohn hinterlassen konnte, der mein Erbe hätte antreten können, so haben meine geliebte Ehefrau und ich drei wundervollen Töchtern das Leben schenken dürfen."
BergLeaderM				~kKönig Aaron Léone schaut betrübt und sagt, "Meine Berater forderten mich mehrfach auf, einen Bastard zu zeugen. Doch sie wissen einfach nicht, wie sehr ich meine Ehefrau liebe und das ich ihr dies niemals antun könnte. Versteht Ihr mich?"
BergLeaderM				~kKönig Aaron Léone sagt, "Für die Sicherheit von Berg und seinen Bewohnern! Denkt immer daran, wenn ihr unsere Tore verlasst um gegen die Monster zu kämpfen, die unsere Stadt bedrohen."
BergLeaderM				~kKönig Aaron Léone spricht leise zu euch: "Es gibt so vieles, was mir Sorgen bereitet. Ach gäbe es doch nur jemanden, mit dem ich offen darüber reden könnte. Vielleicht mit euch?"
BergLeaderM				~kKönig Aaron Léone sagt, "Kennt ihr Harold d'Adue? Er ist mein Schatzmeister und kümmert sich vorbildlich um unser Auktionshaus in Berg. Wenn Ihr etwas benötigt, fragt ihn einfach."
BergLeaderM				~kKönig Aaron Léone kratzt sich nervös und besorgt den Kopf, während er euch anblickt.
BergLeaderM				~kKönig Aaron Léone wirkt zwischendurch gedanklich abwesend und murmelt unverständliche Sätze in sich hinein, während er dabei wild mit seinen Händen, die sein Zepter umfassen, gestikuliert"
BergLeaderM				~kWährend ihr den Raum betretet, könnt ihr beobachten, wie einer der Berater von König Aaron Léone schnell selbigen verlässt. Offenbar hatte er es sehr eilig.
BergBlacksmith			~kAls ihr die kleine Schmiede betretet, singt Roderick Merk ein wundervoll klingendes Lied, welches ihr noch nie gehört habt. Doch leider hört er umgehend damit auf, als er euch erblickt.
BergBlacksmith			~kRoderick Merk sagt, "Bitte verzeiht mir, wenn ich zwischendurch singe aber die harte Arbeit an der heißen Schmiede erfreut mich immer wieder aufs Neue und erinnert mich an einen alten Freund."
BergBlacksmith			~kAls ihr Roderick Merk auf seine Vergangenheit ansprecht, kullert ihm eine kleine Träne die Wange herunter, welche er schnell mit seiner verdreckten Hand weg wischt um anschließend wortlos mit seiner Arbeit weiter zu machen. Diesmal jedoch sehr konzentriert und ohne zu singen.
BergBlacksmith			~kRoderick Merk setzt sich kurz und beginnt zu erzählen: "Wisst Ihr, ich vermisse Jixa manchmal. Doch der dortige Wirt und ich,... nun, es passte einfach nicht. Wenn ihr versteht?"
BergBlacksmith			~kRoderick Merk sagt, "Wusstet ihr eigentlich, dass der Wirt in Jixa der heimliche Anführer einer Diebesgilde ist? Das scheint dort und hier allerdings niemanden zu interessieren."
BergBlacksmith			~kRoderick Merk flüstert euch zu: "Pssst! Kennt ihr den Schmied aus Jixa? Seid Ihr dort eventuell vorbei gekommen und wisst, wie es ihm geht? Er fehlt mir so sehr aber ich musste gehen"
BergBlacksmith			~kRoderick Merk seufzt und macht mit seiner Arbeit weiter.
BergBlacksmith			~kRoderick Merk singt eine Strophe eines euch unbekannten Liedes und erzählt dann, "Vielleicht wäre aus mir einer der größten Barden geworden, die diese Welt je gesehen hätte. Doch hatten sie dort kein Verständnis für meine außergewöhnliche Liebe und somit musste ich den Tempel von Jala leider verlassen. Aber behaltet das besser für euch."
BergBlacksmith			~kRoderick Merk sagt, "Kennt ihr Harold d'Adue, unseren Auktionator von Berg? Harold ist ein guter Mensch. Er hat sich viel um mich gekümmert und hat immer ein offenes Ohr für mich. Ohne ihn hätte ich hier bestimmt denselben ärger wie in Jixa."
BergBlacksmith			~kRoderick Merk sagt, "Hallo! Darf ich euch eine Waffe oder Rüstung schmieden?"
